% function evaluation | noise-free fitness - Fopt (-6.211100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2558 +1.739183637e+003 +1.739183637e+003 +1.118073637e+003 +1.118073637e+003 -7.5625e-001 +3.9574e+000 +6.1095e-001 -4.0352e+000 -1.1663e+000 -2.3923e+000 +1.5485e+000 -7.5234e-001 +7.9172e-001 -2.0916e-001
2656 +1.435381612e+003 +1.435381612e+003 +8.142716116e+002 +8.142716116e+002 -8.0745e-001 +3.9922e+000 +4.1146e-001 -3.9334e+000 -8.7096e-001 -2.3068e+000 +1.5052e+000 -7.4385e-001 +9.2581e-001 -2.7790e-001
2809 +6.820302711e+002 +6.820302711e+002 +6.092027111e+001 +6.092027111e+001 -1.0005e+000 +4.0003e+000 -5.1702e-002 -3.6870e+000 -1.2774e-001 -2.0160e+000 +1.3233e+000 -7.5150e-001 +1.2755e+000 -3.5495e-001
3003 +5.226946700e+002 +5.226946700e+002 -9.841532996e+001 -9.841532996e+001 -8.7312e-001 +3.9764e+000 +2.3537e-001 -3.8385e+000 -5.7895e-001 -2.1647e+000 +1.4269e+000 -7.4556e-001 +1.0855e+000 -2.9859e-001
3113 +3.568233169e+002 +3.568233169e+002 -2.642866831e+002 -2.642866831e+002 -1.0448e+000 +4.0094e+000 -1.7669e-001 -3.6290e+000 +5.8826e-002 -1.9457e+000 +1.2717e+000 -7.5972e-001 +1.3453e+000 -3.6650e-001
3182 +1.449561078e+002 +1.449561078e+002 -4.761538922e+002 -4.761538922e+002 -1.0343e+000 +4.0050e+000 -1.5480e-001 -3.6352e+000 +1.7446e-002 -1.9504e+000 +1.2800e+000 -7.5835e-001 +1.3312e+000 -3.7818e-001
3829 +6.146482842e+001 +6.146482842e+001 -5.596451716e+002 -5.596451716e+002 -1.0184e+000 +4.0014e+000 -1.1985e-001 -3.6511e+000 -4.3472e-002 -1.9677e+000 +1.2883e+000 -7.6036e-001 +1.3067e+000 -3.7123e-001
4274 +3.383638757e+001 +3.383638757e+001 -5.872736124e+002 -5.872736124e+002 -7.8718e-001 +3.9672e+000 +4.8245e-001 -3.9753e+000 -9.9071e-001 -2.3302e+000 +1.5172e+000 -7.5651e-001 +8.7397e-001 -2.5742e-001
4357 +2.262996711e+001 +2.262996711e+001 -5.984800329e+002 -5.984800329e+002 -7.8979e-001 +3.9680e+000 +4.7310e-001 -3.9711e+000 -9.7839e-001 -2.3261e+000 +1.5166e+000 -7.5651e-001 +8.8072e-001 -2.5754e-001
4488 +1.498938155e+001 +1.498938155e+001 -6.061206184e+002 -6.061206184e+002 -8.2558e-001 +3.9707e+000 +3.7711e-001 -3.9171e+000 -8.2281e-001 -2.2621e+000 +1.4768e+000 -7.5900e-001 +9.5889e-001 -2.7491e-001
4612 +8.459589766e+000 +8.459589766e+000 -6.126504102e+002 -6.126504102e+002 -8.1921e-001 +3.9701e+000 +3.9432e-001 -3.9273e+000 -8.4954e-001 -2.2738e+000 +1.4848e+000 -7.5873e-001 +9.4397e-001 -2.7128e-001
4689 +5.472544831e+000 +5.472544831e+000 -6.156374552e+002 -6.156374552e+002 -8.1467e-001 +3.9707e+000 +4.0483e-001 -3.9326e+000 -8.6376e-001 -2.2804e+000 +1.4876e+000 -7.5801e-001 +9.3681e-001 -2.7058e-001
4884 +2.580229775e+000 +2.580229775e+000 -6.185297702e+002 -6.185297702e+002 -8.0980e-001 +3.9688e+000 +4.1740e-001 -3.9411e+000 -8.8770e-001 -2.2899e+000 +1.4930e+000 -7.5717e-001 +9.2518e-001 -2.6892e-001
4915 +2.047257170e+000 +2.047257170e+000 -6.190627428e+002 -6.190627428e+002 -8.1042e-001 +3.9694e+000 +4.1438e-001 -3.9393e+000 -8.8237e-001 -2.2888e+000 +1.4919e+000 -7.5813e-001 +9.2783e-001 -2.6980e-001
5208 +1.264100076e+000 +1.264100076e+000 -6.198458999e+002 -6.198458999e+002 -8.0520e-001 +3.9680e+000 +4.2921e-001 -3.9476e+000 -9.0684e-001 -2.2991e+000 +1.4984e+000 -7.5791e-001 +9.1583e-001 -2.6734e-001
5296 +4.761675561e-001 +4.761675561e-001 -6.206338324e+002 -6.206338324e+002 -7.9454e-001 +3.9663e+000 +4.5849e-001 -3.9650e+000 -9.5518e-001 -2.3193e+000 +1.5112e+000 -7.5767e-001 +8.9129e-001 -2.6247e-001
5652 +3.885858855e-001 +3.885858855e-001 -6.207214141e+002 -6.207214141e+002 -8.0293e-001 +3.9675e+000 +4.3510e-001 -3.9514e+000 -9.1620e-001 -2.3029e+000 +1.5013e+000 -7.5806e-001 +9.1054e-001 -2.6660e-001
6984 +2.509516439e-001 +2.509516439e-001 -6.208590484e+002 -6.208590484e+002 -8.1271e-001 +3.9691e+000 +4.0816e-001 -3.9359e+000 -8.7183e-001 -2.2837e+000 +1.4901e+000 -7.5767e-001 +9.3270e-001 -2.7088e-001
